Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
European Equities03 Dec 2020All datapoints provided as of end of last active trading day."2020 Bulkers";BMG9156K1018;2020;"Oslo Børs";NOK;60;60;56.4;58.8;"03/12/20 16:19";CET;28292;1661509.4
"5th Planet Games";DK0060945467;5PG;"Euronext Expand Oslo";NOK;0.95;0.962;0.912;0.958;"03/12/20 16:03";CET;709777;659977.594
"Aasen Sparebank";NO0010672181;AASB;"Euronext Growth Oslo";NOK;131.00;141.00;131.00;141.00;"02/12/20 14:14";CET;78;1011.00
"ABG Sundal Collier";NO0003021909;ABG;"Oslo Børs";NOK;5.75;5.78;5.70;5.77;"03/12/20 16:26";CET;470486;2705030.51
Adevinta;NO0010844038;ADE;"Oslo Børs";NOK;136.50;138.90;135.80;136.40;"03/12/20 16:25";CET;348689;47639849.30
"ADS Crude Carriers";CY0108052115;ADS;"Euronext Growth Oslo";NOK;19.05;19.25;19.05;19.10;"03/12/20 16:25";CET;164253;3145783.75
Aega;NO0010626559;AEGA;"Euronext Expand Oslo";NOK;5.20;5.20;4.20;4.20;"03/12/20 16:29";CET;6878373;31497874.94
"AF Gruppen";NO0003078107;AFG;"Oslo Børs";NOK;170.00;170.00;169.00;169.40;"03/12/20 16:25";CET;17582;2979488.60
Agilyx;NO0010872468;AGLX;"Euronext Growth Oslo";NOK;26.60;27.495;26.60;27.00;"03/12/20 16:11";CET;46501;1245241.20
Airthings;NO0010895568;AIRX;"Euronext Growth Oslo";NOK;12.60;12.698;12.022;12.45;"03/12/20 16:00";CET;74104;923845.926
Akastor;NO0010215684;AKAST;"Oslo Børs";NOK;7.25;7.44;7.13;7.44;"03/12/20 16:25";CET;121439;885910.76
Aker;NO0010234552;AKER;"Oslo Børs";NOK;500.50;503.50;494.00;499.20;"03/12/20 16:25";CET;42955;21401805.50
"Aker BioMarine";NO0010886625;AKBM;"Euronext Growth Oslo";NOK;107.42;109.94;105.96;109.00;"03/12/20 16:26";CET;45273;4850042.24
"Aker BP";NO0010345853;AKRBP;"Oslo Børs";NOK;200.00;200.50;194.30;197.90;"03/12/20 16:25";CET;1165513;230078357.70
"Aker Carbon Captur";NO0010890304;ACC;"Euronext Growth Oslo";NOK;10.48;10.50;9.667;9.98;"03/12/20 16:25";CET;1752165;17557453.636
"Aker Offshore Wind";NO0010890312;AOW;"Euronext Growth Oslo";NOK;6.577;6.577;6.21;6.33;"03/12/20 16:25";CET;2856653;18006264.029
"Aker Solutions";NO0010716582;AKSO;"Oslo Børs";NOK;14.15;14.58;14.00;14.54;"03/12/20 16:25";CET;2518382;35959889.30
"AKVA Group";NO0003097503;AKVA;"Oslo Børs";NOK;83.00;83.60;83.00;83.60;"03/12/20 16:02";CET;7249;605209.00
"American Shipping";NO0010272065;AMSC;"Oslo Børs";NOK;27.90;28.05;27.65;27.95;"03/12/20 16:25";CET;15110;421271.30
"Andfjord Salmon";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;42.50;42.995;42.10;42.605;"03/12/20 16:25";CET;64545;2749952.10
"Aqua Bio Techno";NO0010307135;ABT;"Euronext Expand Oslo";NOK;6.10;6.10;5.50;5.60;"03/12/20 16:05";CET;64720;365823.85
AqualisBraemar;NO0010715394;AQUA;"Oslo Børs";NOK;9.25;9.50;9.10;9.30;"03/12/20 16:26";CET;329759;3085610.90
Archer;BMG0451H1170;ARCH;"Oslo Børs";NOK;3.025;3.07;2.91;2.95;"03/12/20 16:25";CET;376610;1125280.02
"ArcticZymes Techno";NO0010014632;AZT;"Oslo Børs";NOK;65.40;69.80;63.80;69.40;"03/12/20 16:28";CET;363640;24369359.00
Arcus;NO0010776875;ARCUS;"Oslo Børs";NOK;43.80;44.30;43.70;44.00;"03/12/20 16:13";CET;13993;613358.20
"Arendals Fossekomp";NO0003572802;AFK;"Oslo Børs";NOK;180.00;180.00;177.00;180.00;"03/12/20 16:07";CET;2023;361235.00
"Arribatec Solution";NO0003108102;ARR;"Oslo Børs";NOK;2.41;2.49;2.25;2.38;"03/12/20 16:25";CET;3419221;8208102.57
Asetek;DK0060477263;ASTK;"Oslo Børs";NOK;95.00;96.50;93.00;95.40;"03/12/20 16:25";CET;33924;3222725.30
